Title,Keyword 1,Keyword 2,Keyword 3,Keyword 4,Keyword 5,Keyword 6,Keyword 7,Keyword 8,Keyword 9,Keyword 10,Keyword 11,Keyword 12
"Ownership Structure, Expropriation, and Performance of Group-Affiliated Companies in Korea",PROPERTY,PERFORMANCE,STOCKHOLDERS,PROFIT,MINORITY stockholders,EMINENT domain,ORGANIZATIONAL effectiveness,ORGANIZATIONAL structure,CORPORATE governance,,,
CEO Stock Options: The Silent Dimension of Ownership,STOCK options,STOCKS (Finance),CHIEF executive officers,STOCK ownership,EXECUTIVE compensation,EMPLOYEE stock options,ORGANIZATIONAL structure,ORGANIZATIONAL effectiveness,DECISION making,RISK management in business,,
,,,,,,,,,,,,
Jun/03,,,,,,,,,,,,
,,,,,,,,,,,,
Assessing Creativity in Hollywood Pitch Meetings: Evidence for a Dual-Process Model of Creativity Judgments,MANAGEMENT science,DECISION making,SCREENWRITERS,CREATIVE ability,CREATIVE ability in business,SOCIAL judgment theory (Communication),MOTION picture authorship,SELF-perception,ORGANIZATIONAL behavior,QUALITY of products,,
Reactions to Perceived Inequity in U.S. and Dutch Interorganizational Relationships,INTERORGANIZATIONAL relations,INDUSTRIAL organization,ORGANIZATIONAL behavior,ORGANIZATIONAL effectiveness,INTERGROUP relations,ORGANIZATIONAL structure,BUSINESS networks,SUPPLIERS,STRATEGIC alliances (Business),,,
The Impact of Community Violence and an Organization's Procedural Justice Climate on Workplace Aggression,AGGRESSION (Psychology),VIOLENCE,SOCIAL psychology,ORGANIZATIONAL justice,WORK environment,INDUSTRIAL relations,MANAGEMENT science,VIOLENCE in the workplace,ANGER in the workplace,EMPLOYEES -- Attitudes,PROBLEM employees,WORK attitudes
Explaining New CEO Origin: Firm Versus Industry Antecedents,CHIEF executive officers,PERSONNEL changes,SUCCESSION planning,EXECUTIVE succession,MANAGEMENT science,EXECUTIVES -- Recruiting,STRATEGIC planning,MANAGEMENT research,EXECUTIVE ability (Management),JOB qualifications,ORGANIZATIONAL change,
Do High Job Demands Increase Intrinsic Motivation or Fatigue or Both? The Role of Job Control and Job Social Support,MENTAL fatigue,JOB stress,INDUSTRIAL psychology,BURNOUT (Psychology),SOCIAL networks,PERSONNEL management,MANAGEMENT science,MOTIVATION (Psychology),INTRINSIC motivation,JOB qualifications,ORGANIZATIONAL behavior,ORGANIZATIONAL effectiveness
"Organizational Hiring Patterns, Interfirm Network Ties, and Interorganizational Imitation",PERSONNEL management,PERSONNEL changes,MANAGEMENT science,INTERORGANIZATIONAL relations,CONTAGION (Social psychology),TEAMS in the workplace,EXECUTIVES -- Recruiting,EMPLOYEE recruitment,ORGANIZATIONAL sociology,BUSINESS networks,INTERORGANIZATIONAL networks,
The Effects of Centrifugal and Centripetal Forces on Product Development Speed and Quality: How Does Problem Solving Matter?,PRODUCT management,NEW products,PROBLEM solving,QUALITY of products,DECENTRALIZATION in management,MARKETING management,MANAGEMENT science,PRODUCT design,PRODUCT lines,PRODUCT information management,ORGANIZATIONAL behavior,
A Social Capital Model of High-Growth Ventures,SOCIAL capital (Sociology),INFRASTRUCTURE (Economics),VENTURE capital,INVESTMENTS,GOING public (Securities),COMPETITIVE advantage,ENTREPRENEURSHIP,CAPITAL market,RESOURCE management,ORGANIZATIONAL effectiveness,,
,,,,,,,,,,,,
Aug/03,,,,,,,,,,,,
,,,,,,,,,,,,
Transforming Work-Family Conflict into Commitment in Network Marketing Organizations,ORGANIZATIONAL behavior,MULTILEVEL marketing,ORGANIZATIONAL commitment,MARKETING management,QUALITY of work life,JOB satisfaction,AMBIVALENCE,ORGANIZATIONAL structure,ORGANIZATIONAL effectiveness,ORGANIZATIONAL sociology,,
"Advocacy, Performance, and Threshold Influences on Decisions to Terminate New Product Development",NEW products,PERFORMANCE evaluation,COMMERCIAL products,PRODUCT management,MARKETING,DECISION making,MARKETING -- Decision making,RESEARCH & development,STRATEGIC planning,PRODUCT design,,
Managing from the Boundary: The Effective Leadership of Self-Managing Work Teams,LEADERSHIP,TEAMS in the workplace,STRATEGIC planning,SELF-management (Psychology),MANAGEMENT -- Employee participation,CRITICAL incident technique,TASK analysis,MANAGEMENT science,EXECUTIVE ability (Management),DECISION making,,
Team Member Functional Background and Involvement in Management Teams: Direct Effects and the Moderating Role of Power Centralization,TEAMS in the workplace,DECISION making,CRITICAL thinking,WORKFLOW,MANAGEMENT,DECENTRALIZATION in management,MANAGEMENT science,ORGANIZATIONAL behavior,DELEGATION of authority,GROUP decision making,STRATEGIC business units,
"Happy Together? How Using Nonstandard Workers Affects Exit, Voice, and Loyalty Among Standard Employees",LABOR supply,LABOR organizing,CONDUCT of life,ORGANIZATIONAL behavior,EMPLOYEE loyalty,ORGANIZATIONAL commitment,INDUSTRIAL relations,ORGANIZATIONAL structure,EMPLOYEES -- Attitudes,PERSONNEL management,,
"Interpersonal Aggression in Work Groups: Social Influence, Reciprocal, and Individual Effects",EMPLOYEES -- Attitudes,AGGRESSION (Psychology),TEAMS in the workplace,SOCIAL influence,INDIVIDUAL differences,INTERPERSONAL relations,SOCIAL context,ORGANIZATIONAL behavior,ORGANIZATIONAL structure,WORK environment,,
Share Price Reactions to Work-Family Initiatives: An Institutional Perspective,WORK & family,PERSONNEL management,STOCKHOLDERS,WOMEN employees,STOCKS (Finance) -- Prices,MANAGEMENT science,HUMAN resource accounting,WOMEN -- Employment,ORGANIZATIONAL behavior,QUALITY of work life,,
The Role of Human Capital in Postacquisition CEO Departure,HUMAN capital,CHIEF executive officers,CAPITAL investments,LABOR economics,CONSOLIDATION & merger of corporations,EXECUTIVES -- Dismissal of,ORGANIZATIONAL effectiveness,ORGANIZATIONAL behavior,LABOR turnover,EXECUTIVE succession,,
,,,,,,,,,,,,
Oct/03,,,,,,,,,,,,
,,,,,,,,,,,,
How Much Should I Give and How Often? The Effects of Generosity and Frequency of Favor Exchange on Social Status and Productivity,SOCIAL status,GENEROSITY,BEHAVIORAL research,LABOR productivity,SOCIAL exchange,INTERPERSONAL relations,SOCIAL factors,EMPLOYEES -- Attitudes -- Research,PERSONNEL management,ORGANIZATIONAL behavior,,
Self-Concordance at Work: Toward Understanding the Motivational Effects of Transformational Leaders,LEADERSHIP,EXECUTIVE ability (Management),EMPLOYEE motivation,MOTIVATION (Psychology),INDUSTRIAL psychology,MANAGEMENT science,JOB satisfaction,CHARISMATIC authority,SELF-congruence,MANAGEMENT styles,,
"Cooperation, Competition, and Team Performance: Toward a Contingency Approach",EMPLOYEE motivation,JOB performance,TEAMS in the workplace,INDUSTRIAL management,PERSONNEL management,ORGANIZATIONAL sociology,INCENTIVES in industry,INDUSTRIAL psychology,GOAL setting in personnel management,REWARD (Psychology),,
"The Impact Of Expectations On Newcomer Performance In Teams As Mediated By Work Characteristics, Social Exchanges, And Empowerment",TEAMS in the workplace,ORGANIZATIONAL sociology,EMPLOYEE motivation,LEADERSHIP,INTERPERSONAL relations,INDUSTRIAL management,PYGMALION (Greek mythology),"GALATEA, sea nymph (Greek deity)",SOCIAL exchange,OCCUPATIONAL roles,,
THe Effects of Discontinuous Change on Latent Errors in Organizations: The Moderating Role of Risk,ORGANIZATIONAL change,EMPLOYEE rules,HUMAN error,RISK,INDUSTRIAL management,PERSONNEL management,ORGANIZATIONAL behavior,INDUSTRIAL psychology,ORGANIZATIONAL research,ERROR rates,,
Employee Creativity in Taiwan: An Application of Role Identity Theory,CREATIVE ability,TAIWANESE,EMPLOYEES,PERSONNEL management,EMPLOYEE motivation,CREATIVE ability in business,INNOVATION management,CROSS-cultural differences,,,,
Media Legitimation Effects in the Market for Initial Public Offerings,GOING public (Securities),CORPORATE image,STOCKHOLDERS -- Attitudes,CAPITALISTS & financiers,MASS media,CORPORATIONS -- Investor relations,MATHEMATICAL statistics,CORPORATIONS -- Public relations,PUBLIC companies,TURNOVER (Business),,
Giving Money to Get Money: How CEO Stock Options and CEO Equity Enhance IPO Valuations,STOCK options,GOING public (Securities),INCENTIVES in industry,OPTIONS (Finance),CORPORATIONS -- Valuation,CORPORATIONS -- Finance,EXECUTIVE compensation,CAPITALISTS & financiers,BUSINESS enterprises -- Valuation,DECISION making,,
,,,,,,,,,,,,
Dec/03,,,,,,,,,,,,
,,,,,,,,,,,,
A Behavioral Theory of R&D Expenditures and Innovations: Evidence from Shipbuilding,ORGANIZATIONAL behavior,CORPORATIONS -- Finance,RESEARCH & development,INDUSTRIAL management,INNOVATIONS in business,INNOVATION management,BUSINESS planning,SHIPBUILDING industry,TECHNOLOGICAL innovations -- Economic aspects,SUCCESS in business,COMPETITIVE advantage,ORGANIZATIONAL change
"Transformational Leadership, Conservation, and Creativity: Evidence From Korea",LEADERSHIP,ORGANIZATIONAL behavior,CREATIVE ability in business,EMPLOYEE motivation,ORGANIZATIONAL change,WORK environment -- Psychological aspects,MANAGEMENT,EXECUTIVE ability (Management),INTRINSIC motivation,INDUSTRIAL relations,INDIVIDUAL differences,
Informational Dissimilarity and Organizational Citizenship Behavior: The Role of Intrateam Interdependence and Team Identification,ORGANIZATIONAL behavior,TEAMS in the workplace,INDUSTRIAL psychology,ORGANIZATIONAL effectiveness,ORGANIZATIONAL goals,ORGANIZATIONAL sociology,SOCIAL psychology,MANAGEMENT,ORGANIZATIONAL change,DIVISION of labor,INDUSTRIAL organization,WORK environment
"Subsidiary Staffing in Multinational Enterprises: Agency, Resources, and Performance",INTERNATIONAL business enterprises -- Management,FOREIGN subsidiaries -- Management,EMPLOYEE selection,EXECUTIVES -- Recruiting,ORGANIZATIONAL sociology,ORGANIZATIONAL behavior,AGENCY theory,RESOURCE-based theory of the firm,PERSONNEL management,EMPLOYMENT in foreign countries,SUBSIDIARY corporations -- Management,HOST countries (Business)
"Strategic Human Resource Practices, Top Management Team Social Networks, and Firm Performance: The Role of Human Resource;Practices in Creating Organizational Competitive Advantage",PERSONNEL management,COMPETITIVE advantage,BUSINESS networks,INDUSTRIAL management,STRATEGIC planning,SOCIAL networks,RESOURCE management,RESOURCE-based theory of the firm,HUMAN capital -- Management,INTELLECTUAL capital,DECISION making,INDUSTRIAL efficiency
"Compensation Policy and Organizational Performance: The Efficiency, Operational, and Financial Implications of Pay Levels;and Pay Structure",COMPENSATION management,ORGANIZATIONAL behavior,PERSONNEL management,HOSPITALS -- Administration,MANAGEMENT,FINANCIAL performance,WAGE payment systems,RESOURCE management,ORGANIZATIONAL effectiveness,INDUSTRIAL efficiency,FINANCIAL management,INDUSTRIAL management
"Functional Background Identity, Diversity, and Individual Performance in Cross-Functional Teams",CROSS-functional teams,TEAMS in the workplace,GROUP identity,ORGANIZATIONAL behavior,MANAGEMENT,PERFORMANCE,PERSONNEL management,COMPETITIVE advantage,ORGANIZATIONAL effectiveness,GROUP decision making,ORGANIZATIONAL structure,ORGANIZATIONAL sociology
A Customer Interaction Approach to Strategy and Production Complexity Alignment in Service Firms,SERVICE industries -- Management,CUSTOMER relations,INDUSTRIAL management,PRODUCTION management,STRATEGIC planning,CUSTOMER services,LABOR process,ORGANIZATIONAL behavior,DECISION making,CUSTOMER satisfaction,CUSTOMER orientation,MARKETING strategy
